account_id,staff_name,level_user,username,password
98,Xena Nugroho,WHStaff,xenan2,xenan2123
99,Yoga Fitriani,WHStaff,yogaf2,yogaf2123
100,Zara Sari,WHStaff,zaras2,zaras2123
101,Abdul Rahman,CHStaff,abdulr2,abdulr2123
102,Bambang Prasetyo,CHStaff,bambangp2,bambangp2123
103,Cahaya Dewi,CHStaff,cahayad2,cahayad2123
104,Dewi Lestari,CHStaff,dewil3,dewil3123
105,Eko Prasetyo,CHStaff,ekop3,ekop3123
106,Fajar Nugroho,CHStaff,fajarn3,fajarn3123
107,Gita Permata,CHStaff,gitap3,gitap3123
108,Hendra Wijaya,CHStaff,hendraw3,hendraw3123
109,Indah Sari,CHStaff,indahs3,indahs3123
110,Joko Susanto,CHStaff,jokos3,jokos3123
111,Kartika Putri,CHStaff,kartikap3,kartikap3123
112,Lukman Hakim,CHStaff,lukmanh3,lukmanh3123
113,Mega Puspita,CHStaff,megap3,megap3123
114,Nina Fitriani,CHStaff,ninaf3,ninaf3123
115,Oscar Wijaya,CHStaff,oscarw3,oscarw3123
116,Putri Amelia,CHStaff,putria3,putria3123
117,Rudi Hartono,CHStaff,rudih3,rudih3123
118,Siti Rahayu,CHStaff,sitir3,sitir3123
119,Tono Prasetyo,CHStaff,tonop3,tonop3123
120,Umi Kusumawati,CHStaff,umik3,umik3123
121,Vina Puspita,CHStaff,vinap3,vinap3123
122,Wahyu Nugroho,CHStaff,wahyun3,wahyun3123
123,Xena Putri,CHStaff,xenap3,xenap3123
124,Yoga Pratama,CHStaff,yogap3,yogap3123
125,Zara Fitriani,CHStaff,zaraf3,zaraf3123
126,Adi Nugroho,WHStaff,adin3,adin3123
127,Bunga Permata,WHStaff,bungap3,bungap3123
128,Candra Wijaya,WHStaff,candraw3,candraw3123
129,Dina Sari,WHStaff,dinas3,dinas3123
130,Eko Susanto,WHStaff,ekos3,ekos3123
131,Fani Putri,WHStaff,fanip3,fanip3123
132,Gita Hartono,WHStaff,gitah3,gitah3123
133,Hendra Rahayu,WHStaff,hendrar3,hendrar3123
134,Indah Prasetyo,WHStaff,indahp3,indahp3123
135,Joko Hakim,WHStaff,jokoh3,jokoh3123
136,Kartika Puspita,WHStaff,kartikapu3,kartikapu3123
137,Lukman Fitriani,WHStaff,lukmanf3,lukmanf3123
138,Mega Wijaya,WHStaff,megaw3,megaw3123
139,Nina Sari,WHStaff,ninas3,ninas3123
140,Oscar Susanto,WHStaff,oscars3,oscars3123
141,Putri Putri,WHStaff,putrip3,putrip3123
142,Rudi Nugroho,WHStaff,rudin3,rudin3123
143,Siti Fitriani,WHStaff,sitif3,sitif3123
144,Tono Wijaya,WHStaff,tonow3,tonow3123
145,Umi Sari,WHStaff,umis3,umis3123
146,Vina Susanto,WHStaff,vinas3,vinas3123
147,Wahyu Putri,WHStaff,wahyup3,wahyup3123
148,Xena Nugroho,WHStaff,xenan3,xenan3123
149,Yoga Fitriani,WHStaff,yogaf3,yogaf3123
150,Zara Sari,WHStaff,zaras3,zaras3123
151,Abdul Rahman,CHStaff,abdulr3,abdulr3123
152,Bambang Prasetyo,CHStaff,bambangp3,bambangp3123
153,Cahaya Dewi,CHStaff,cahayad3,cahayad3123
154,Dewi Lestari,CHStaff,dewil4,dewil4123
155,Eko Prasetyo,CHStaff,ekop4,ekop4123
156,Fajar Nugroho,CHStaff,fajarn4,fajarn4123
157,Gita Permata,CHStaff,gitap4,gitap4123
158,Hendra Wijaya,CHStaff,hendraw4,hendraw4123
159,Indah Sari,CHStaff,indahs4,indahs4123
160,Joko Susanto,CHStaff,jokos4,jokos4123
161,Kartika Putri,CHStaff,kartikap4,kartikap4123
162,Lukman Hakim,CHStaff,lukmanh4,lukmanh4123
163,Mega Puspita,CHStaff,megap4,megap4123
164,Nina Fitriani,CHStaff,ninaf4,ninaf4123
165,Oscar Wijaya,CHStaff,oscarw4,oscarw4123
166,Putri Amelia,CHStaff,putria4,putria4123
167,Rudi Hartono,CHStaff,rudih4,rudih4123
168,Siti Rahayu,CHStaff,sitir4,sitir4123
169,Tono Prasetyo,CHStaff,tonop4,tonop4123
170,Umi Kusumawati,CHStaff,umik4,umik4123
171,Vina Puspita,WHStaff,vinap4,vinap4123
172,Wahyu Nugroho,CHStaff,wahyun4,wahyun4123
173,Xena Putri,CHStaff,xenap4,xenap4123
174,Yoga Pratama,CHStaff,yogap4,yogap4123
175,Zara Fitriani,CHStaff,zaraf4,zaraf4123
176,Adi Nugroho,WHStaff,adin4,adin4123
177,Bunga Permata,WHStaff,bungap4,bungap4123
178,Candra Wijaya,WHStaff,candraw4,candraw4123
179,Dina Sari,WHStaff,dinas4,dinas4123
180,Eko Susanto,WHStaff,ekos4,ekos4123
181,Fani Putri,WHStaff,fanip4,fanip4123
182,Gita Hartono,WHStaff,gitah4,gitah4123
183,Hendra Rahayu,WHStaff,hendrar4,hendrar4123
184,Indah Prasetyo,WHStaff,indahp4,indahp4123
185,Joko Hakim,WHStaff,jokoh4,jokoh4123
186,Kartika Puspita,WHStaff,kartikapu4,kartikapu4123
187,Lukman Fitriani,WHStaff,lukmanf4,lukmanf4123
188,Mega Wijaya,WHStaff,megaw4,megaw4123
189,Nina Sari,WHStaff,ninas4,ninas4123
190,Oscar Susanto,WHStaff,oscars4,oscars4123
191,Putri Putri,WHStaff,putrip4,putrip4123
192,Rudi Nugroho,WHStaff,rudin4,rudin4123
193,Siti Fitriani,WHStaff,sitif4,sitif4123
194,Tono Wijaya,WHStaff,tonow4,tonow4123
195,Umi Sari,WHStaff,umis4,umis4123
196,Vina Susanto,WHStaff,vinas4,vinas4123
197,Wahyu Putri,CHStaff,wahyup4,wahyup4123
198,Xena Nugroho,CHStaff,xenan4,xenan4123
199,Yoga Fitriani,CHStaff,yogaf4,yogaf4123
200,Zara Sari,CHStaff,zaras4,zaras4123
201,Abdul Rahman,CHStaff,abdulr4,abdulr4123
202,Bambang Prasetyo,CHStaff,bambangp4,bambangp4123
203,Cahaya Dewi,CHStaff,cahayad4,cahayad4123
204,Dewi Lestari,CHStaff,dewil5,dewil5123
205,Eko Prasetyo,CHStaff,ekop5,ekop5123
206,Fajar Nugroho,CHStaff,fajarn5,fajarn5123
207,Gita Permata,CHStaff,gitap5,gitap5123
208,Hendra Wijaya,CHStaff,hendraw5,hendraw5123
209,Indah Sari,CHStaff,indahs5,indahs5123
210,Joko Susanto,CHStaff,jokos5,jokos5123
211,Kartika Putri,CHStaff,kartikap5,kartikap5123
212,Lukman Hakim,CHStaff,lukmanh5,lukmanh5123
213,Mega Puspita,CHStaff,megap5,megap5123
214,Nina Fitriani,CHStaff,ninaf5,ninaf5123
215,Oscar Wijaya,CHStaff,oscarw5,oscarw5123
216,Putri Amelia,CHStaff,putria5,putria5123
217,Rudi Hartono,CHStaff,rudih5,rudih5123
218,Siti Rahayu,CHStaff,sitir5,sitir5123
219,Tono Prasetyo,CHStaff,tonop5,tonop5123
220,Umi Kusumawati,CHStaff,umik5,umik5123
221,Vina Puspita,CHStaff,vinap5,vinap5123
222,Wahyu Nugroho,CHStaff,wahyun5,wahyun5123
223,Xena Putri,CHStaff,xenap5,xenap5123
224,Yoga Pratama,CHStaff,yogap5,yogap5123
225,Zara Fitriani,CHStaff,zaraf5,zaraf5123
226,Adi Nugroho,WHStaff,adin5,adin5123
227,Bunga Permata,WHStaff,bungap5,bungap5123
228,Candra Wijaya,WHStaff,candraw5,candraw5123
229,Dina Sari,WHStaff,dinas5,dinas5123
230,Eko Susanto,WHStaff,ekos5,ekos5123
231,Fani Putri,WHStaff,fanip5,fanip5123
232,Gita Hartono,WHStaff,gitah5,gitah5123
233,Hendra Rahayu,WHStaff,hendrar5,hendrar5123
234,Indah Prasetyo,WHStaff,indahp5,indahp5123
235,Joko Hakim,WHStaff,jokoh5,jokoh5123
236,Kartika Puspita,WHStaff,kartikapu5,kartikapu5123
237,Lukman Fitriani,WHStaff,lukmanf5,lukmanf5123
238,Mega Wijaya,WHStaff,megaw5,megaw5123
239,Nina Sari,WHStaff,ninas5,ninas5123
240,Oscar Susanto,WHStaff,oscars5,oscars5123
241,Putri Putri,WHStaff,putrip5,putrip5123
242,Rudi Nugroho,WHStaff,rudin5,rudin5123
243,Siti Fitriani,WHStaff,sitif5,sitif5123
244,Tono Wijaya,WHStaff,tonow5,tonow5123
245,Umi Sari,WHStaff,umis5,umis5123
246,Vina Susanto,WHStaff,vinas5,vinas5123
247,Wahyu Putri,CHStaff,wahyup5,wahyup5123
248,Xena Nugroho,CHStaff,xenan5,xenan5123
249,Yoga Fitriani,CHStaff,yogaf5,yogaf5123
250,Zara Sari,CHStaff,zaras5,zaras5123
251,Abdul Rahman,CHStaff,abdulr5,abdulr5123
252,Bambang Prasetyo,CHStaff,bambangp5,bambangp5123
253,Cahaya Dewi,CHStaff,cahayad5,cahayad5123
254,Dewi Lestari,CHStaff,dewil6,dewil6123
255,Eko Prasetyo,CHStaff,ekop6,ekop6123
256,Fajar Nugroho,CHStaff,fajarn6,fajarn6123
257,Gita Permata,CHStaff,gitap6,gitap6123
258,Hendra Wijaya,CHStaff,hendraw6,hendraw6123
259,Indah Sari,CHStaff,indahs6,indahs6123
260,Joko Susanto,CHStaff,jokos6,jokos6123
261,Kartika Putri,CHStaff,kartikap6,kartikap6123
262,Lukman Hakim,CHStaff,lukmanh6,lukmanh6123
263,Mega Puspita,CHStaff,megap6,megap6123
264,Nina Fitriani,CHStaff,ninaf6,ninaf6123
265,Oscar Wijaya,CHStaff,oscarw6,oscarw6123
266,Putri Amelia,CHStaff,putria6,putria6123
267,Rudi Hartono,CHStaff,rudih6,rudih6123
268,Siti Rahayu,CHStaff,sitir6,sitir6123
269,Tono Prasetyo,CHStaff,tonop6,tonop6123
270,Umi Kusumawati,CHStaff,umik6,umik6123
271,Vina Puspita,CHStaff,vinap6,vinap6123
272,Wahyu Nugroho,CHStaff,wahyun6,wahyun6123
273,Xena Putri,CHStaff,xenap6,xenap6123
274,Yoga Pratama,CHStaff,yogap6,yogap6123
275,Zara Fitriani,CHStaff,zaraf6,zaraf6123
276,Adi Nugroho,WHStaff,adin6,adin6123
277,Bunga Permata,WHStaff,bungap6,bungap6123
278,Candra Wijaya,WHStaff,candraw6,candraw6123
279,Dina Sari,WHStaff,dinas6,dinas6123
280,Eko Susanto,WHStaff,ekos6,ekos6123
281,Fani Putri,WHStaff,fanip6,fanip6123
282,Gita Hartono,WHStaff,gitah6,gitah6123
283,Hendra Rahayu,WHStaff,hendrar6,hendrar6123
284,Indah Prasetyo,WHStaff,indahp6,indahp6123
285,Joko Hakim,WHStaff,jokoh6,jokoh6123
286,Kartika Puspita,WHStaff,kartikapu6,kartikapu6123
287,Lukman Fitriani,WHStaff,lukmanf6,lukmanf6123
288,Mega Wijaya,WHStaff,megaw6,megaw6123
289,Nina Sari,WHStaff,ninas6,ninas6123
290,Oscar Susanto,WHStaff,oscars6,oscars6123
291,Putri Putri,WHStaff,putrip6,putrip6123
292,Rudi Nugroho,WHStaff,rudin6,rudin6123
293,Siti Fitriani,WHStaff,sitif6,sitif6123
294,Tono Wijaya,WHStaff,tonow6,tonow6123
295,Umi Sari,WHStaff,umis6,umis6123
296,Vina Susanto,WHStaff,vinas6,vinas6123
297,Wahyu Putri,CHStaff,wahyup6,wahyup6123
298,Xena Nugroho,CHStaff,xenan6,xenan6123
299,Yoga Fitriani,CHStaff,yogaf6,yogaf6123
300,Zara Sari,CHStaff,zaras6,zaras6123
301,Abdul Rahman,CHStaff,abdulr6,abdulr6123
302,Bambang Prasetyo,CHStaff,bambangp6,bambangp6123
303,Cahaya Dewi,CHStaff,cahayad6,cahayad6123
304,Dewi Lestari,CHStaff,dewil7,dewil7123
305,Eko Prasetyo,CHStaff,ekop7,ekop7123
306,Fajar Nugroho,CHStaff,fajarn7,fajarn7123
307,Gita Permata,CHStaff,gitap7,gitap7123
308,Hendra Wijaya,CHStaff,hendraw7,hendraw7123
309,Indah Sari,CHStaff,indahs7,indahs7123
310,Joko Susanto,CHStaff,jokos7,jokos7123
311,Kartika Putri,CHStaff,kartikap7,kartikap7123
312,Lukman Hakim,CHStaff,lukmanh7,lukmanh7123
313,Mega Puspita,CHStaff,megap7,megap7123
314,Nina Fitriani,CHStaff,ninaf7,ninaf7123
315,Oscar Wijaya,CHStaff,oscarw7,oscarw7123
316,Putri Amelia,CHStaff,putria7,putria7123
317,Rudi Hartono,CHStaff,rudih7,rudih7123
318,Siti Rahayu,CHStaff,sitir7,sitir7123
319,Tono Prasetyo,CHStaff,tonop7,tonop7123
320,Umi Kusumawati,CHStaff,umik7,umik7123
321,Vina Puspita,CHStaff,vinap7,vinap7123
322,Wahyu Nugroho,CHStaff,wahyun7,wahyun7123
323,Xena Putri,CHStaff,xenap7,xenap7123
324,Yoga Pratama,CHStaff,yogap7,yogap7123
325,Zara Fitriani,CHStaff,zaraf7,zaraf7123
326,Adi Nugroho,WHStaff,adin7,adin7123
327,Bunga Permata,WHStaff,bungap7,bungap7123
328,Candra Wijaya,WHStaff,candraw7,candraw7123
329,Dina Sari,WHStaff,dinas7,dinas7123
330,Eko Susanto,WHStaff,ekos7,ekos7123
331,Fani Putri,WHStaff,fanip7,fanip7123
332,Gita Hartono,WHStaff,gitah7,gitah7123
333,Hendra Rahayu,WHStaff,hendrar7,hendrar7123
334,Indah Prasetyo,WHStaff,indahp7,indahp7123
335,Joko Hakim,WHStaff,jokoh7,jokoh7123
336,Kartika Puspita,WHStaff,kartikapu7,kartikapu7123
337,Lukman Fitriani,WHStaff,lukmanf7,lukmanf7123
338,Mega Wijaya,WHStaff,megaw7,megaw7123
339,Nina Sari,WHStaff,ninas7,ninas7123
340,Oscar Susanto,WHStaff,oscars7,oscars7123
341,Putri Putri,WHStaff,putrip7,putrip7123
342,Rudi Nugroho,WHStaff,rudin7,rudin7123
343,Siti Fitriani,WHStaff,sitif7,sitif7123
344,Tono Wijaya,WHStaff,tonow7,tonow7123
345,Umi Sari,WHStaff,umis7,umis7123
346,Vina Susanto,WHStaff,vinas7,vinas7123
347,Wahyu Putri,CHStaff,wahyup7,wahyup7123
348,Xena Nugroho,CHStaff,xenan7,xenan7123
349,Yoga Fitriani,CHStaff,yogaf7,yogaf7123
350,Zara Sari,CHStaff,zaras7,zaras7123
